source,id,publisher,city,borough,year,start_page,end_page,column_count,sample_page,key_page,page_offset,holding_institution,title,notes
nypl,7884b4a0-5d85-0134-0bfd-00505686a51c,Longworth,New York,Manhattan,1814/15,,,1,,,,NYPL,"New York City directory, 1814-1815",
nypl,bb77dcb0-5d85-0134-5559-00505686a51c,Longworth,New York,Manhattan,1815/16,,,1,,,,NYPL,"New York City directory, 1815-1816",
nypl,c7989ec0-5d87-0134-dd6c-00505686a51c,Longworth,New York,Manhattan,1816/17,,,1,,,,NYPL,"New York City directory, 1816-1817",
nypl,fd64cf90-5d87-0134-9061-00505686a51c,Longworth,New York,Manhattan,1817/18,,,1,,,,NYPL,"New York City directory, 1817-1818",
nypl,69fdfa80-5d88-0134-e574-00505686a51c,Longworth,New York,Manhattan,1818/19,,,1,,,,NYPL,"New York City directory, 1818-1819",
nypl,68454c90-5d89-0134-7379-00505686a51c,Longworth,New York,Manhattan,1819/20,,,1,,,,NYPL,"New York City directory, 1819-1820",
nypl,d0c00950-5d8a-0134-25dc-00505686a51c,Longworth,New York,Manhattan,1820/21,,,1,,,-5,NYPL,"New York City directory, 1820-1821","offset drifts -5->+7 (c151=p.156, c355=p.348); 1 col; visually sampled 2026-06-19"
nypl,76317cb0-5d8b-0134-b202-00505686a51c,Mercein,New York,Manhattan,1820/21,,,,,,,NYPL,"New York City directory, 1820-1821",
nypl,f98c5610-5d8c-0134-e971-00505686a51c,Longworth,New York,Manhattan,1821/22,,,1,,,,NYPL,"New York City directory, 1821-1822",
nypl,48f8b9e0-5d8e-0134-44fc-00505686a51c,Longworth,New York,Manhattan,1822/23,,,1,,,,NYPL,"New York City directory, 1822-1823",
nypl,f31ba0d0-5d92-0134-8d53-00505686a51c,Longworth,New York,Manhattan,1823/24,,,1,,,,NYPL,"New York City directory, 1823-1824",
nypl,a7c98cc0-5d93-0134-9b75-00505686a51c,Longworth,New York,Manhattan,1824/25,,,1,,,,NYPL,"New York City directory, 1824-1825",
nypl,ef865c70-5d93-0134-bcc0-00505686a51c,Longworth,New York,Manhattan,1825/26,,,1,,,,NYPL,"New York City directory, 1825-1826",
nypl,87529b60-5d94-0134-0240-00505686a51c,Longworth,New York,Manhattan,1826/27,,,1,,,,NYPL,"New York City directory, 1826-1827",
nypl,b81ef7e0-5d95-0134-75ca-00505686a51c,Longworth,New York,Manhattan,1827/28,,,1,,,,NYPL,"New York City directory, 1827-1828",
nypl,e98c4500-5d95-0134-bfdd-00505686a51c,Longworth,New York,Manhattan,1828/29,,,1,,,,NYPL,"New York City directory, 1828-1829",
nypl,1b097b90-5d96-0134-efb7-00505686a51c,Longworth,New York,Manhattan,1829/30,,,1,,,,NYPL,"New York City directory, 1829-1830",
nypl,28268fc0-5d97-0134-aa18-00505686a51c,Longworth,New York,Manhattan,1830/31,,,1,,,,NYPL,"New York City directory, 1830-1831",
nypl,84b88960-5d97-0134-6ebd-00505686a51c,Longworth,New York,Manhattan,1831/32,,,1,,,,NYPL,"New York City directory, 1831-1832",
nypl,c98f4800-5d97-0134-419c-00505686a51c,Longworth,New York,Manhattan,1832/33,,,1,,,,NYPL,"New York City directory, 1832-1833",
nypl,225d0b00-5d98-0134-45dc-00505686a51c,Longworth,New York,Manhattan,1833/34,,,1,,,,NYPL,"New York City directory, 1833-1834",
nypl,0ef0f030-5d99-0134-220c-00505686a51c,Longworth,New York,Manhattan,1834/35,,,1,,,,NYPL,"New York City directory, 1834-1835",
nypl,528effc0-5d99-0134-8106-00505686a51c,Longworth,New York,Manhattan,1835/36,,,1,,,,NYPL,"New York City directory, 1835-1836",
nypl,4d9e2620-5d9b-0134-e53e-00505686a51c,Longworth,New York,Manhattan,1836/37,,,1,,,,NYPL,"New York City directory, 1836-1837",
nypl,7ec84510-5da4-0134-ac54-00505686a51c,Longworth,New York,Manhattan,1837/38,,,1,,,,NYPL,"New York City directory, 1837-1838",
nypl,4d646de0-5da6-0134-336d-00505686a51c,Longworth,New York,Manhattan,1838/39,,,1,,,,NYPL,"New York City directory, 1838-1839",
